Country,Country Code,Series,Series Code,2020M07 [2020M07]
EMDE Latin America and the Caribbean,LAP,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,20247.0152282992
EMDE Middle East and North Africa,MNH,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,..
EMDE South Asia,SAP,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,86.81473212176
EMDE Sub-Saharan Africa,SSP,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,481.069063648
Emerging Market and Developing Economies,EMD,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,5600.70918403502
Equatorial Guinea,GNQ,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,..
Eritrea,ERI,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,..
Estonia,EST,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,0.87750513465
Ethiopia,ETH,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,35.09473684211
Europe and Central Asia developing,ECA,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,461.75314700274
Faeroe Islands,FRO,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,..
Fiji,FJI,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,2.15353638974
Finland,FIN,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,0.87750513465
France,FRA,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,0.87750513465
French Polynesia,PYF,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,..
Gabon,GAB,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,..
Gambia The,GMB,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,51.84168421053
Georgia,GEO,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,3.06378947368
Germany,DEU,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,0.87750513465
Ghana,GHA,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,5.76713888889
Greece,GRC,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,0.87750513465
Greenland,GRL,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,..
Grenada,GRD,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,..
Guatemala,GTM,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,7.69519444444
Guinea,GIN,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,9610.97368421053
Guinea-Bissau,GNB,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,..
Guyana,GUY,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,..
Haiti,HTI,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,110.90341666667
High Income Countries,HIY,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,48.98548880942
Honduras,HND,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,24.70265789474
Hong Kong China,HKG,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,7.75131578947
Hungary,HUN,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,309.23289473684
Iceland,ISL,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,138.91342105263
India,IND,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,75.02136842105
Indonesia,IDN,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,14520.552631579
Iran Islamic Rep.,IRN,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,..
Iraq,IRQ,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,..
Ireland,IRL,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,0.87750513465
Isle of Man,IMN,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,..
Israel,ISR,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,3.43710526316
Italy,ITA,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,0.87750513465
Jamaica,JAM,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,142.96127777778
Japan,JPN,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,107.10631578947
Jordan,JOR,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,0.70934210526
Kazakhstan,KAZ,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,411.49236842105
Kenya,KEN,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,107.23078947368
Kiribati,KIR,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,..
Korea Rep.,KOR,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,1200.06131578947
Kuwait,KWT,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,..
Kyrgyz Republic,KGZ,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,77.88319444444
Lao PDR,LAO,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,..
Latin America & Caribbean developing,LAC,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,21650.5264179739
Latvia,LVA,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,0.87750513465
Lebanon,LBN,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,1509.02631578947
Lesotho,LSO,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,16.80523684211
Liberia,LBR,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,..
Libya,LBY,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,..
Lithuania,LTU,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,0.87750513465
Low Income Countries,LIC,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,1353.04942050006
